source_id,source_title,source_link
1,1stcolonial,https://www.1stcolonial.com/Resources/The-Cents-of-Community-Blog-/entryid/795/63-questions-about-money-you-were-too-afraid-to-ask
2,fnbn,https://www.fnbn.com/financial-literacy-quiz/
3,atfcu,https://www.atfcu.org/about/telco-blog/10-key-financial-literacy-questions-for-students
4,money saving expert,https://www.moneysavingexpert.com/savings/savings-accounts-best-interest/
5,money saving expert,https://www.moneysavingexpert.com/banking/compare-best-bank-accounts/
6,lloyds bank,https://www.lloydsbank.com/savings/help-and-guidance/isas-explained.html
7,natwest,https://www.natwest.com/current-accounts/overdrafts/what-is-an-overdraft.html
8,experian,"https://www.experian.co.uk/consumer/mortgages/guides/what-is-a-mortgage.html#:~:text=A%20mortgage%20is%20kind%20of,keep%20up%20with%20the%20repayments."
9,Cambridge dictionary,https://dictionary.cambridge.org/dictionary/english/cryptocurrency
10,embers,"https://www.embers.org/calculator/simple-vs-compound-interest-calculator#:~:text=Simple%20Interest%20vs%20Compound%20Interest&text=Simple%20Interest%3A%20Calculated%20annually%20on,daily%2C%20monthly%2C%20or%20quarterly."
11,barclays,"https://www.barclays.co.uk/money-management/how-do-debt-consolidation-loans-work/#:~:text=This%20type%20of%20loan%20pays,owe%20in%20a%20simpler%20way."
12,legal and general,https://www.legalandgeneral.com/retirement/pensions/guides/pensions-explained/
13,legal and general,https://www.legalandgeneral.com/retirement/pensions/guides/withdraw-pension-before-55/
14,cnbc,"https://www.cnbc.com/select/what-happens-if-you-only-pay-the-minimum-on-your-credit-card/#:~:text=While%20paying%20the%20full%20statement,pay%20it%20off%20in%20full."
15,the balance money,https://www.thebalancemoney.com/how-to-start-investing-with-small-amounts-of-money-1289723#toc-invest-in-etfs
16,nerd wallet,https://www.nerdwallet.com/uk/personal-finance/how-to-budget-money/
17,investopedia,Debt Avalanche vs. Debt Snowball: What's the Difference?
18,experian,https://www.experian.co.uk/consumer/guides/improve-credit-score.html
19,nsandi,https://www.nsandi.com/products/premium-bonds
20,gov,https://www.gov.uk/repaying-your-student-loan
21,gov,https://www.gov.uk/inheritance-tax
22,money saving expert,https://www.moneysavingexpert.com/savings/stocks-shares-isas/
23,hl,https://www.hl.co.uk/learn
24,New York Times,https://www.nytimes.com/interactive/2024/upshot/buy-rent-calculator.html
25,nerd wallet,https://www.nerdwallet.com/article/insurance/what-is-term-life-insurance
26,experian,https://www.experian.com/blogs/ask-experian/how-does-refinancing-a-mortgage-work/
27,bank rate,https://www.bankrate.com/investing/stocks-vs-mutual-funds/
28,consumer report,https://www.consumerreports.org/cars/buying-a-car/leasing-vs-buying-a-new-car-a9135602164/?srsltid=AfmBOoqSur2W5qLN_shdhFTnX2z-Pu6TJdzbG_NuDsswKc1dJY2BM5JL
29,hsbc,What Is Compound Interest? | Savings Interest - HSBC UK
30,experian,What Is Credit? - Experian
31,investopedia,https://www.investopedia.com/terms/i/inflation.asp
32,mbopartners,Gross vs Net Income: Differences and How to Calculate - MBO Partners
33,investopedia,https://www.investopedia.com/terms/c/credit_score.asp
34,bank of england,https://www.bankofengland.co.uk/explainers/what-are-interest-rates
35,investopedia,https://www.investopedia.com/terms/s/stockmarket.asp
36,investopedia,https://www.investopedia.com/terms/b/bank-statement.asp
37,investopedia,https://www.investopedia.com/terms/t/transactioncosts.asp
38,investopedia,https://www.investopedia.com/terms/c/chargeback.asp
39,grange insurance,https://www.grangeinsurance.com/tips/what-is-insurance-why-is-it-important
40,athene,https://www.athene.com/smart-strategies/6-ways-to-improve-your-financial-literacy.html
